stop_order,stop_id,line_id
11,1967617_west,196751_west
0,1967618_west,196752_west
1,1967619_west,196752_west
2,1967620_west,196752_west
3,1967621_west,196752_west
4,1967622_west,196752_west
5,1967623_west,196752_west
6,1967624_west,196752_west
7,1967625_west,196752_west
8,1967626_west,196752_west
9,1967627_west,196752_west
0,1967628_west,196753_west
1,1967629_west,196753_west
2,1967630_west,196753_west
3,1967631_west,196753_west
4,1967632_west,196753_west
5,1967633_west,196753_west
6,1967634_west,196753_west
7,1967635_west,196753_west
8,1967636_west,196753_west
9,1967637_west,196753_west
10,1967638_west,196753_west
11,1967639_west,196753_west
12,1967640_west,196753_west
13,1967641_west,196753_west
14,1967642_west,196753_west
15,1967643_west,196753_west
0,1967644_west,196754_west
1,1967645_west,196754_west
2,1967646_west,196754_west
3,1967647_west,196754_west
4,1967648_west,196754_west
5,1967649_west,196754_west
6,1967650_west,196754_west
7,1967651_west,196754_west
8,1967652_west,196754_west
9,1967653_west,196754_west
10,1967654_west,196754_west
11,1967655_west,196754_west
12,1967656_west,196754_west
13,1967657_west,196754_west
14,1967658_west,196754_west
0,1967659_west,196755_west
1,1967660_west,196755_west
2,1967661_west,196755_west
3,1967662_west,196755_west
4,1967663_west,196755_west
5,1967664_west,196755_west
6,1967665_west,196755_west
7,1967666_west,196755_west
8,1967667_west,196755_west
9,1967668_west,196755_west
10,1967669_west,196755_west
11,1967670_west,196755_west
12,1967671_west,196755_west
13,1967672_west,196755_west
14,1967673_west,196755_west
15,1967674_west,196755_west
0,1967675_west,196756_west
1,1967676_west,196756_west
2,1967677_west,196756_west
3,1967678_west,196756_west
4,1967679_west,196756_west
5,1967680_west,196756_west
6,1967681_west,196756_west
7,1967682_west,196756_west
8,1967683_west,196756_west
9,1967684_west,196756_west
10,1967685_west,196756_west
11,1967686_west,196756_west
12,1967687_west,196756_west
13,1967688_west,196756_west
14,1967689_west,196756_west
15,1967690_west,196756_west
0,1967691_west,196757_west
1,1967692_west,196757_west
2,1967693_west,196757_west
3,1967694_west,196757_west
4,1967695_west,196757_west
5,1967696_west,196757_west
6,1967697_west,196757_west
7,1967698_west,196757_west
8,1967699_west,196757_west
9,1967700_west,196757_west
10,1967701_west,196757_west
11,1967702_west,196757_west
12,1967703_west,196757_west
13,1967704_west,196757_west
0,1967705_west,196758_west
1,1967706_west,196758_west
2,1967707_west,196758_west
3,1967708_west,196758_west
4,1967709_west,196758_west
5,1967710_west,196758_west
6,1967711_west,196758_west
7,1967712_west,196758_west
8,1967713_west,196758_west
9,1967714_west,196758_west
0,1967715_west,196759_west
1,1967716_west,196759_west
2,1967717_west,196759_west
3,1967718_west,196759_west
4,1967719_west,196759_west
5,1967720_west,196759_west
0,1967721_west,196760_west
1,1967722_west,196760_west
2,1967723_west,196760_west
3,1967724_west,196760_west
4,1967725_west,196760_west
5,1967726_west,196760_west
6,1967727_west,196760_west
0,1967728_west,196761_west
1,1967729_west,196761_west
2,1967730_west,196761_west
3,1967731_west,196761_west
4,1967732_west,196761_west
5,1967733_west,196761_west
0,1967734_west,196762_west
1,1967735_west,196762_west
2,1967736_west,196762_west
3,1967737_west,196762_west
4,1967738_west,196762_west
5,1967739_west,196762_west
6,1967740_west,196762_west
7,1967741_west,196762_west
8,1967742_west,196762_west
9,1967743_west,196762_west
10,1967744_west,196762_west
11,1967745_west,196762_west
12,1967746_west,196762_west
13,1967747_west,196762_west
14,1967748_west,196762_west
0,1967749_west,196763_west
1,1967750_west,196763_west
2,1967751_west,196763_west
3,1967752_west,196763_west
4,1967753_west,196763_west
5,1967754_west,196763_west
6,1967755_west,196763_west
7,1967756_west,196763_west
8,1967757_west,196763_west
9,1967758_west,196763_west
10,1967759_west,196763_west
11,1967760_west,196763_west
12,1967761_west,196763_west
13,1967762_west,196763_west
14,1967763_west,196763_west
0,1967764_west,196764_west
1,1967765_west,196764_west
2,1967766_west,196764_west
3,1967767_west,196764_west
4,1967768_west,196764_west
5,1967769_west,196764_west
6,1967770_west,196764_west
7,1967771_west,196764_west
8,1967772_west,196764_west
9,1967773_west,196764_west
10,1967774_west,196764_west
11,1967775_west,196764_west
12,1967776_west,196764_west
13,1967777_west,196764_west
14,1967778_west,196764_west
0,1967779_west,196765_west
1,1967780_west,196765_west
2,1967781_west,196765_west
3,1967782_west,196765_west
4,1967783_west,196765_west
5,1967784_west,196765_west
6,1967785_west,196765_west
7,1967786_west,196765_west
8,1967787_west,196765_west
9,1967788_west,196765_west
10,1967789_west,196765_west
11,1967790_west,196765_west
0,1967791_west,196766_west
1,1967792_west,196766_west
2,1967793_west,196766_west
3,1967794_west,196766_west
4,1967795_west,196766_west
5,1967796_west,196766_west
6,1967797_west,196766_west
7,1967798_west,196766_west
8,1967799_west,196766_west
9,1967800_west,196766_west
10,1967801_west,196766_west
11,1967802_west,196766_west
12,1967803_west,196766_west
13,1967804_west,196766_west
14,1967805_west,196766_west
0,1967806_west,196767_west
1,1967807_west,196767_west
2,1967808_west,196767_west
3,1967809_west,196767_west
4,1967810_west,196767_west
5,1967811_west,196767_west
6,1967812_west,196767_west
7,1967813_west,196767_west
8,1967814_west,196767_west
9,1967815_west,196767_west
10,1967816_west,196767_west
11,1967817_west,196767_west
12,1967818_west,196767_west
13,1967819_west,196767_west
14,1967820_west,196767_west
15,1967821_west,196767_west
0,1967822_west,196768_west
1,1967823_west,196768_west
2,1967824_west,196768_west
3,1967825_west,196768_west
4,1967826_west,196768_west
5,1967827_west,196768_west
0,1967828_west,196769_west
1,1967829_west,196769_west
2,1967830_west,196769_west
3,1967831_west,196769_west
4,1967830_west,196769_west
5,1967828_west,196769_west
0,1967832_west,196770_west
1,1967833_west,196770_west
2,1967834_west,196770_west
3,1967835_west,196770_west
4,1967836_west,196770_west
5,1967837_west,196770_west
6,1967838_west,196770_west
7,1967839_west,196770_west
8,1967840_west,196770_west
9,1967841_west,196770_west
10,1967842_west,196770_west
11,1967843_west,196770_west
12,1967844_west,196770_west
13,1967845_west,196770_west
14,1967846_west,196770_west
15,1967847_west,196770_west
16,1967848_west,196770_west
17,1967849_west,196770_west
18,1967850_west,196770_west
19,1967851_west,196770_west
0,1967852_west,196771_west
1,1967853_west,196771_west
2,1967854_west,196771_west
3,1967855_west,196771_west
4,1967856_west,196771_west
5,1967857_west,196771_west
6,1967858_west,196771_west
7,1967859_west,196771_west
8,1967860_west,196771_west
9,1967861_west,196771_west
10,1967862_west,196771_west
11,1967863_west,196771_west
12,1967864_west,196771_west
0,1967865_west,196772_west
1,1967866_west,196772_west
2,1967867_west,196772_west
3,1967868_west,196772_west
4,1967869_west,196772_west
5,1967870_west,196772_west
6,1967871_west,196772_west
0,1967872_west,196773_west
1,1967873_west,196773_west
2,1967874_west,196773_west
3,1967875_west,196773_west
4,1967876_west,196773_west
5,1967877_west,196773_west
6,1967878_west,196773_west
7,1967879_west,196773_west
8,1967872_west,196773_west
0,1967880_west,196774_west
1,1967881_west,196774_west
2,1967882_west,196774_west
3,1967883_west,196774_west
4,1967884_west,196774_west
5,1967885_west,196774_west
6,1967886_west,196774_west
7,1967887_west,196774_west
8,1967888_west,196774_west
9,1967889_west,196774_west
10,1967890_west,196774_west
11,1967891_west,196774_west
12,1967892_west,196774_west
13,1967893_west,196774_west
14,1967894_west,196774_west
0,1967895_west,196775_west
1,1967896_west,196775_west
2,1967897_west,196775_west
3,1967898_west,196775_west
4,1967899_west,196775_west
5,1967900_west,196775_west
0,1967901_west,196776_west
1,1967902_west,196776_west
2,1967903_west,196776_west
3,1967904_west,196776_west
4,1967905_west,196776_west
5,1967906_west,196776_west
0,1967907_west,196777_west
1,1967908_west,196777_west
2,1967909_west,196777_west
3,1967910_west,196777_west
4,1967911_west,196777_west
5,1967912_west,196777_west
6,1967913_west,196777_west
7,1967914_west,196777_west
8,1967915_west,196777_west
9,1967916_west,196777_west
10,1967917_west,196777_west
11,1967918_west,196777_west
12,1967919_west,196777_west
13,1967920_west,196777_west
14,1967921_west,196777_west
0,1967922_west,196778_west
1,1967923_west,196778_west
2,1967924_west,196778_west
3,1967925_west,196778_west
4,1967926_west,196778_west
5,1967922_west,196778_west
0,1967927_west,196779_west
1,1967928_west,196779_west
2,1967929_west,196779_west
3,1967930_west,196779_west
4,1967931_west,196779_west
5,1967932_west,196779_west
6,1967933_west,196779_west
7,1967934_west,196779_west
8,1967935_west,196779_west
9,1967936_west,196779_west
10,1967937_west,196779_west
11,1967938_west,196779_west
12,1967939_west,196779_west
13,1967940_west,196779_west
14,1967941_west,196779_west
15,1967942_west,196779_west
0,1967943_west,196780_west
1,1967944_west,196780_west
2,1967945_west,196780_west
3,1967946_west,196780_west
4,1967947_west,196780_west
5,1967948_west,196780_west
6,1967949_west,196780_west
7,1967950_west,196780_west
8,1967951_west,196780_west
9,1967952_west,196780_west
10,1967953_west,196780_west
11,1967954_west,196780_west
12,1967955_west,196780_west
13,1967956_west,196780_west
0,1967957_west,196781_west
1,1967958_west,196781_west
2,1967959_west,196781_west
3,1967960_west,196781_west
4,1967961_west,196781_west
5,1967962_west,196781_west
6,1967963_west,196781_west
7,1967964_west,196781_west
8,1967965_west,196781_west
9,1967966_west,196781_west
10,1967967_west,196781_west
11,1967968_west,196781_west
12,1967969_west,196781_west
13,1967970_west,196781_west
14,1967971_west,196781_west
15,1967972_west,196781_west
16,1967973_west,196781_west
0,1967974_west,196782_west
1,1967975_west,196782_west
2,1967976_west,196782_west
3,1967977_west,196782_west
4,1967978_west,196782_west
5,1967979_west,196782_west
6,1967980_west,196782_west
7,1967981_west,196782_west
8,1967982_west,196782_west
9,1967983_west,196782_west
10,1967984_west,196782_west
11,1967985_west,196782_west
0,1967986_west,196783_west
1,1967987_west,196783_west
2,1967988_west,196783_west
3,1967989_west,196783_west
4,1967990_west,196783_west
5,1967991_west,196783_west
6,1967992_west,196783_west
7,1967993_west,196783_west
8,1967994_west,196783_west
9,1967995_west,196783_west
10,1967996_west,196783_west
11,1967997_west,196783_west
12,1967998_west,196783_west
13,1967999_west,196783_west
14,19671000_west,196783_west
15,19671001_west,196783_west
16,19671002_west,196783_west
17,19671003_west,196783_west
18,19671004_west,196783_west
0,19671005_west,196784_west
1,19671006_west,196784_west
2,19671007_west,196784_west
3,19671008_west,196784_west
4,19671009_west,196784_west
5,19671010_west,196784_west
6,19671011_west,196784_west
7,19671012_west,196784_west
8,19671013_west,196784_west
9,19671014_west,196784_west
10,19671015_west,196784_west
11,19671016_west,196784_west
12,19671017_west,196784_west
13,19671018_west,196784_west
14,19671019_west,196784_west
15,19671020_west,196784_west
16,19671021_west,196784_west
0,19671022_west,196785_west
1,19671023_west,196785_west
2,19671024_west,196785_west
0,19671025_west,196786_west
1,19671026_west,196786_west
2,19671027_west,196786_west
3,19671028_west,196786_west
4,19671029_west,196786_west
0,19671030_west,196787_west
1,19671031_west,196787_west
0,19671032_west,196788_west
1,19671033_west,196788_west
2,19671034_west,196788_west
3,19671035_west,196788_west
4,19671036_west,196788_west
5,19671037_west,196788_west
6,19671038_west,196788_west
7,19671039_west,196788_west
8,19671040_west,196788_west
9,19671041_west,196788_west
10,19671042_west,196788_west
11,19671043_west,196788_west
12,19671044_west,196788_west
13,19671045_west,196788_west
14,19671046_west,196788_west
15,19671047_west,196788_west
16,19671048_west,196788_west
17,19671049_west,196788_west
18,19671050_west,196788_west
19,19671051_west,196788_west
20,19671052_west,196788_west
21,19671053_west,196788_west
22,19671054_west,196788_west
23,19671055_west,196788_west
0,19671056_west,196789_west
1,19671057_west,196789_west
2,19671058_west,196789_west
3,19671059_west,196789_west
4,19671060_west,196789_west
5,19671061_west,196789_west
6,19671062_west,196789_west
7,19671063_west,196789_west
8,19671064_west,196789_west
9,19671065_west,196789_west
10,19671066_west,196789_west
11,19671067_west,196789_west
0,19671068_west,196790_west
1,19671069_west,196790_west
2,19671070_west,196790_west
3,19671071_west,196790_west
4,19671072_west,196790_west
5,19671073_west,196790_west
6,19671074_west,196790_west
7,19671075_west,196790_west
0,19671076_west,196791_west
1,19671077_west,196791_west
2,19671078_west,196791_west
3,19671079_west,196791_west
4,19671080_west,196791_west
5,19671081_west,196791_west
6,19671082_west,196791_west
7,19671083_west,196791_west
8,19671084_west,196791_west
0,19671085_west,196792_west
1,19671086_west,196792_west
2,19671087_west,196792_west
3,19671088_west,196792_west
4,19671089_west,196792_west
5,19671090_west,196792_west
6,19671091_west,196792_west
7,19671092_west,196792_west
8,19671093_west,196792_west
9,19671094_west,196792_west
10,19671095_west,196792_west
11,19671096_west,196792_west
12,19671097_west,196792_west
13,19671098_west,196792_west
14,19671099_west,196792_west
15,19671100_west,196792_west
16,19671101_west,196792_west
17,19671102_west,196792_west
18,19671103_west,196792_west
0,19671104_west,196793_west
1,19671105_west,196793_west
2,19671106_west,196793_west
3,19671107_west,196793_west
4,19671108_west,196793_west
5,19671109_west,196793_west
6,19671110_west,196793_west
7,19671111_west,196793_west
8,19671112_west,196793_west
0,19671113_west,196794_west
1,19671114_west,196794_west
2,19671115_west,196794_west
3,19671116_west,196794_west
0,19671117_west,196795_west
1,19671118_west,196795_west
2,19671119_west,196795_west
3,19671120_west,196795_west
4,19671121_west,196795_west
5,19671122_west,196795_west
6,19671123_west,196795_west
7,19671124_west,196795_west
8,19671125_west,196795_west
9,19671126_west,196795_west
10,19671127_west,196795_west
11,19671128_west,196795_west
12,19671129_west,196795_west
13,19671130_west,196795_west
14,19671131_west,196795_west
15,19671132_west,196795_west
16,19671133_west,196795_west
17,19671134_west,196795_west
18,19671135_west,196795_west
0,19671136_west,196796_west
1,19671137_west,196796_west
2,19671138_west,196796_west
3,19671139_west,196796_west
4,19671140_west,196796_west
5,19671141_west,196796_west
6,19671142_west,196796_west
7,19671143_west,196796_west
8,19671144_west,196796_west
9,19671145_west,196796_west
10,19671146_west,196796_west
0,19671147_west,196797_west
1,19671148_west,196797_west
2,19671149_west,196797_west
3,19671150_west,196797_west
4,19671151_west,196797_west
5,19671152_west,196797_west
6,19671153_west,196797_west
7,19671154_west,196797_west
8,19671155_west,196797_west
9,19671156_west,196797_west
10,19671157_west,196797_west
11,19671158_west,196797_west
12,19671159_west,196797_west
13,19671160_west,196797_west
14,19671161_west,196797_west
15,19671162_west,196797_west
16,19671163_west,196797_west
17,19671164_west,196797_west
18,19671165_west,196797_west
19,19671166_west,196797_west
20,19671167_west,196797_west
21,19671168_west,196797_west
22,19671169_west,196797_west
23,19671170_west,196797_west
0,19671171_west,196798_west
1,19671172_west,196798_west
0,19671173_west,196799_west
1,19671174_west,196799_west
2,19671175_west,196799_west
3,19671176_west,196799_west
4,19671177_west,196799_west
5,19671178_west,196799_west
6,19671179_west,196799_west
7,19671180_west,196799_west
8,19671181_west,196799_west
9,19671182_west,196799_west
10,19671183_west,196799_west
11,19671184_west,196799_west
12,19671185_west,196799_west
13,19671186_west,196799_west
0,19671187_west,1967100_west
1,19671188_west,1967100_west
2,19671189_west,1967100_west
3,19671190_west,1967100_west
4,19671191_west,1967100_west
5,19671192_west,1967100_west
6,19671193_west,1967100_west
7,19671194_west,1967100_west
8,19671195_west,1967100_west
9,19671196_west,1967100_west
10,19671197_west,1967100_west
0,19671198_west,1967101_west
1,19671199_west,1967101_west
2,19671200_west,1967101_west
3,19671201_west,1967101_west
4,19671202_west,1967101_west
5,19671203_west,1967101_west
6,19671204_west,1967101_west
7,19671205_west,1967101_west
8,19671206_west,1967101_west
9,19671207_west,1967101_west
10,19671208_west,1967101_west
11,19671209_west,1967101_west
12,19671210_west,1967101_west
13,19671211_west,1967101_west
0,19671212_west,1967102_west
1,19671213_west,1967102_west
