,line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
1,2,Bernauer Strasse Ecke Wolliner Strasse - Voltastrasse Ecke Watt Strasse - Weddingplatz - Rathenower Strasse Ecke Perleberger Strasse - Alt-Moabit Ecke Rathenower Strasse - Stromstrasse Ecke Alt-Moabit - Gotzkowskybrücke - Ernst-Reuter-Platz - Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse Ecke Martin-Luther-Strasse - Rathaus Schöneberg - Hauptstrasse Ecke Dominicusstrasse - Kaiser-Wilhelm-Platz - GotenStrasse,15.0,60.0,strassenbahn,West,1961
2,3,Grüntaler Straße Ecke Osloer Strasse - U-Bhf. Seestrasse - Bhf. Beusselstrasse - Gotzkowskystrasse Ecke Turmstrasse - Wiebestrasse Ecke Kaiserin-Augusta-Allee - Tauroggener Strasse Ecke Osnabrücker Strasse - Luisenplatz - Wilmersdorfer Strasse Ecke Otto-Suhr-Alle - Wilmersdorfer Strasse Ecke Kurfürstendamm - Fehrbelliner Platz - Berliner Strasse Ecke Bundesallee - Grunewaldstrasse Ecke Martin-Luther-Strasse - Potsdamer Strasse Ecke Pallasstrasse - Mehringdamm Ecke Yorck Strasse - U-Bhf. Südstern - Hermannplatz - Wilderbruchstrasse Ecke Sonnenallee - Elsenstraße Ecke Heidelberger Strasse,10.0,87.0,strassenbahn,West,1961
7,15,Daimlerstrasse - Bhf. Marienfelde - Körtingstrasse Ecke Großbeerenstrasse - Mariendorfer Damm - Imbrosweg - Mariendorfer Friedhof - Industriestrasse - Germaniastrasse - Frauenklinik - Hermannstrasse - U-Bhf. Neukölln - Richardstrasse - Bhf. Sonnenallee - Dammweg - Schulenburgpark,15.0,36.0,strassenbahn,West,1961
9,26,Spreewaldplatz - Reichenberger Strasse - Glogauer Strasse - Sonnenallee - Hermannplatz - Weichselstrasse - Rathaus Neukölln - Karl-Marx-Platz - U-Bhf. Neukölln - Silbersteinstrasse - Hermannstrasse - Städtische Frauenklinik - Germaniastrasse - Bhf. Teltowkanal - Industriestrasse,15.0,30.0,strassenbahn,West,1961
10,27,"Spreewaldplatz - Hermannplatz - U-Bhf. Boddinstrasse - U-Bhf. Leinestrasse - Bhf. Hermannstrasse - Mariendorfer Weg Ecke Hermannstrasse - Germaniapromenade Ecke Britzer Damm - Franz-Körner-Strasse Ecke Britzer Damm - Britzer Damm Ecke Gradestrasse - Tempelhofer Weg Ecke Britzer Damm - Mohriner Allee Ecke Buckower Damm - Gutschmidtstrasse Ecke Buckower Damm - Kleinbahn, Buckower Damm - Dachdeckerweg Ecke Buckower Damm - Parkfriedhof Neukölln, Buckower Damm - Alt-Buckow Ecke Buckower Damm",15.0,30.0,strassenbahn,West,1961
12,47,Hermannplatz - Weichselstrasse - Rathaus Neukölln - Karl-Marx-Platz - U-Bhf. Neukölln - Silbersteinstrasse - U-Bhf. Grenzallee - Buschkrug - Onkel-Herse-Strasse - Parchimer Allee - Krankenhause Neukölln - Johannisthaler Chaussee - Wildmeisterdamm - Stubenrauchstrasse - Köpenicker Strasse - Bahnhofstrasse,10.0,34.0,strassenbahn,West,1961
14,53,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Bhf. Spandau - Spandau, Markt - Hafenplatz - Lynastrasse Ecke Neuendorfer Strasse - Hohenzollernring - Hakenfelde",20.0,42.0,strassenbahn,West,1961
15,54,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Bhf. Spandau - Spandau, Markt - Hafenplatz - Lynastrasse Ecke Neuendorfer Strasse - Hohenzollernring - Johannesstift",20.0,43.0,strassenbahn,West,1961
16,55,"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Cauerstrasse - Richard-Wagner-Platz - Luisenplatz - OsnaBrücker Strasse - Bhf. Jungfernheide - Jakob-Kaiser-Platz - Quellweg - Paulsternstrasse - Zitadellenweg - Spandau, Markt - Rathaus Spandau - Nauener Strasse",12.0,54.0,strassenbahn,West,1961
17,60,Königin-Elisabeth-Strasse - Sophie-Charlotten-Platz - Stuttgarter Platz - Fehrbelliner Platz - Bundesallee - Rathaus Schöneberg - Hauptstrasse (Schöneberg) - Bhf. Papestrasse - Eythstrasse,15.0,49.0,strassenbahn,West,1961
20,66,Belziger Strasse - Hauptstrasse (Schöneberg) - Innsbrucker Platz - Traegerstrasse - Ceciliengärten - Rembrandtstrasse - Canovastrasse (Krankenhaus) - Thorwaldsenstrasse - Bergstrasse,10.0,12.0,strassenbahn,West,1961
25,73,Bhf. Lichterfelde-Ost - Wiesenbaude  - Moltkestrasse - Händelplatz - Schlossstrasse - Rathaus Steglitz - Bundesallee Ecke Rheinstrasse - Kaisereiche - Lauterplatz - Innsbrucker Platz - Dominicusstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstrasse - Lützowstrasse - Potsdamer Platz,20.0,42.0,strassenbahn,West,1961
26,74,Finckensteinallee - Wiesenbaude - Moltkestrasse - Händelplatz - Schlossstrasse - Rathaus Steglitz - Bundesallee - Kaisereiche - Lauterplatz - Innsbrucker Platz - Dominicusstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstrasse - Lützowstrasse - Potsdamer Platz ,20.0,39.0,strassenbahn,West,1961
29,75,"Bhf. Zoo, Kantstrasse - Wilmersdorfer Strasse - Amtsgericht - Messedamm - Reichskanzlerplatz - Bhf. Heerstrasse - Reichssportfeldstrasse - StößenseeBrücke - Pichelsdorfer Strasse - Weverstrasse, Strassenbahnhof - Seeburger Strasse - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring - Hakenfelde",20.0,59.0,strassenbahn,West,1961
30,76,"Bhf. Zoo, Kantstrasse - Wilmersdorfer Strasse - Amtsgericht - Messedamm - Reichskanzlerplatz - Bhf. Heerstrasse - Reichssportfeldstrasse - StößenseeBrücke - Pichelsdorfer Strasse - Weverstrasse, Strassenbahnhof - Seeburger Strasse - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring - Johannesstift",20.0,60.0,strassenbahn,West,1961
31,77,Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse - Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Schlossstrasse - Rathaus Steglitz - Hindenburgdamm - Händelplatz - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Rittberg-Krankenhaus - Wismarer Strasse - Goerzallee,20.0,49.0,strassenbahn,West,1961
32,78,Bhf. Zoo - Wittenbergplatz - Grunewaldstrasse - Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Schlossstrasse - Rathaus Steglitz - Hindenburgdamm - Händelplatz - Bhf. Botanischer Garten - Bhf. Lichterfelde-West - Rittberg-Krankenhaus - Goerzallee - Lichterfelde-West Lindenstrasse,20.0,48.0,strassenbahn,West,1961
41,95,Mehringplatz - Zossener Strasse Ecke Blücherstrasse - Baerwaldstrasse Ecke Urbanstrasse - Hermannplatz - Erkstrasse Ecke Sonnenallee - Hertzbergplatz - Bhf. Sonnenallee - Dammweg Ecke Sonnenallee - Schulenburgpark - Schwarzer Weg Ecke Sonnenallee,15.0,26.0,strassenbahn,West,1961
42,96,"Lindenstrasse - Mehringplatz - Yorckstrasse - U-Bhf. Flughafen - Adolf-Scheidt-Platz - Berlinickeplatz - Attilaplatz - Bhf. Mariendorf - Lankwitz, Kirche - Sydlitzstrasse Ecke Kaiser-Wilhelm-Strasse - Bhf. Lichterfelde-Ost - Ostpreußendamm Ecke Morgenstern Strasse - Giesendorferstrasse Ecke Ostpreußendamm - Wismarer Strasse Ecke Ostpreußendamm - Schwelmer Strasse Ecke Ostpreußendamm",15.0,45.0,strassenbahn,West,1961
43,A 1,Waldstrasse Ecke Turmstrasse - Otto-Suhr-Allee - Kurfürstendamm Ecke Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - Detmolder Strasse - Breitenbachplatz - Botanischer Garten - Pacelli-/Thielallee - Clayallee - U-Bhf. Oskar-Helene-Heim - Potsdamer Strasse Ecke Clayallee - Bhf. Zehlendorf - Beeskowdamm - Wismarer Strasse - Lichterfelde-West Lindenstrasse,15.0,58.0,bus,West,1961
44,A 2,"Ernst-Reuter-Platz, Straße des 17. Juni - Ernst-Reuter-Platz - Bhf. Zoo - Spichernstrasse Ecke Bundesallee - Berliner Strasse Ecke Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstrasse Ecke Feuerbachstrasse - Bergstrasse Ecke Bismarckstrasse - Steglitzer Damm Ecke Halske Strasse - Leonorenstrasse Ecke Siemensstrasse - Lankwitz, Kirche - Havensteinstrasse Ecke Gallwitzallee - Lerbacher Weg Ecke Gallwitzallee - Trippsteinstrasse",15.0,40.0,bus,West,1961
45,A 3,"Rathaus Zehlendorf - Winifriedstrasse Ecke Clayallee - U-Bhf. Oskar-Helene-Heim - U-Bhf. Onkel-Toms-Hütte - U-Bhf. Krumme Lanke - Bhf. Lindenthaler Allee - Benschallee Ecke Potsdamer Chaussee - Schopenhauer-Strasse Ecke Spanische Allee - Bhf. Nikolassee - Am Beelitzhof - Bhf. Wannsee - Am Großen Wannsee Ecke Königstrasse - Pfaueninsel-Chaussee Ecke Königstrasse - Rathaus Wannsee - Stölpchensee, Wilhelmplatz",10.0,39.0,bus,West,1961
46,A 10,"Haselhorst, Kirche - Paulsternstrasse - Verwaltungs-Gebäude - Spandauer Damm - U-Bhf. Kaiserdamm - Amtsgerichsplatz - Kurfürstendamm - Bhf. Halensee - Elsterplatz - Hundekehlestrasse - Königin-Luise-Strasse - U-Bhf. Thielplatz - Dahlemer Weg - Teltower Damm - Behring-Krankenhaus - Lupsteiner Weg",10.0,62.0,bus,West,1961
47,A 11,Saargemünder Strasse - U-Bhf. Oskar-Helene-Heim - Ihnestrasse - Corrensplatz - Unter den Eichen Ecke Habelschwerdter Allee - Bhf. Lichterfelde-West - Ringstrasse - Wiesenbaude - Unter den Eichen Ecke Drakestrasse - Marienstrasse - Morgensternstrasse Ecke Wilhelmstrasse - Bhf. Lichterfelde-Ost - Lange Strasse - Hildburghauser Strasse - Apoldaer Strasse Ecke Sonderhauser Strasse - Trippsteinstrasse,7.5,30.0,bus,West,1961
48,A 12,Gartenstrasse Ecke Bernauer Strasse - Grenzstrasse - U-Bhf. Leopold-Platz - U-Bhf. Seestrasse - Bristolstrasse - Emmentaler Strasse - Lindauer Strasse - Lindenweg - Holzhauser Strasse - Cyclopstrasse - Zabel-Krüger-Damm - Kirchstrasse - Hermsdorfer Damm - Bhf. Frohnau - Donnersmarckplatz - Hainbuchenstrasse,20.0,54.0,bus,West,1961
49,A 13,Alt-Heiligensee - Am Dachsbau - Gabelung - Ruppiner Chaussee - U-Bhf. Tegel - Bernauer Strasse - Krankenhaus Tegel-Süd - Strasse nach Staatwinkel - Paulsternstrasse - Daumstrasse - Carl-Schurz-Strasse Ecke Am Juliusturm - Rathaus Spandau - Klosterstraße Ecke Seeburger Straße - Päwesiner Weg Ecke Seeburgerstrasse - Heerstrasse - Weinmeisterhornweg,15.0,59.0,bus,West,1961
50,A 14,Alt-Heiligensee - Mattenbuder Pfad - Bhf. Heiligensee - Bhf. Schulzendorf - Heiligenseestrasse - U-Bhf. Tegel - Ziekowstrasse - Holzhauser Strasse - Lindenweg - Aroser Allee - Kopenhagener Strasse - Pankower Allee - Pankstrasse - U-Bhf. Gesundbrunnen - Rügener Strasse,15.0,53.0,bus,West,1961
51,A 15,Lübarser Strasse - Bhf. Wittenau - Alt-Wittenau - Tor 5 - Bhf. Eichbornstrasse - Holzhauser Strasse - Borsigwalder Weg  - Gorkistrasse - U-Bhf. Tegel - Hermsdorfer Damm - Am Fließ  - Schulzendorfer Strasse - Bhf. Hermsdorf - Dominikus-Krankenhaus - Donnersmarckplatz - Bhf. Frohnau,15.0,41.0,bus,West,1961
52,A 16,Louise-Schroeder-Platz - U-Bhf. Seestrasse - Afrikanische Strasse - Virchow-Krankenhaus - Bhf. PutlitzStrasse - TurmStrasse - Hansaplatz - Tiergartenstrasse - Lützowplatz - EinemStrasse - Rathaus Sch neberg - Innsbrucker Platz - Bundesplatz - Wiesbadener Strasse - Breitenbachplatz - Englerallee,10.0,44.0,bus,West,1961
53,A 17,Bhf. Grunewald - Hagenplatz - Rosenecke - Warnem nder Strasse - U-Bhf. Rüdesheimer Platz - Friedriche-Wilhelm-Platz - Bundesallee - Rathaus Steglitz - Stadtpark - LeonorenStrasse - Stadion Lichterfelde - Wilhelmstrasse - Morgensternstrasse Ecke Wilhelmstrasse - Oberhofer Platz  - Saaleckplatz,10.0,46.0,bus,West,1961
54,A 18,Saargemünder Strasse - U-Bhf. Oskar-Helene-Heim - Sophie-Charlotten-Strasse - Scharfestrasse - Potsdamer Strasse Ecke Clayallee - Mittelstrasse - Wolzogenstrasse - Benschallee - Waldfriedhof - Quantzstrasse - Kronprinzessinen Weg - Am Grossen Wannsee - Pfaueninsel-Chaussee - Rathaus Wannsee - St lpchensee - Kohlhasenbr ck,20.0,32.0,bus,West,1961
55,A 19,Roseneck - Hagenplatz - Erdener Strasse - Bhf. Halensee - Wilmersdorfer Strasse - Olivaer Platz - Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz - Nollendorfplatz - Potsdamer Strasse Ecke Bülowstrasse - Bhf. Yorckstrasse - Katzbachstrasse - Mehringdamm - U-Bhf. Flughafen - Flughafen,10.0,40.0,bus,West,1961
56,A 20,"Tegelort - Walderseestrasse - Falkenplatz - Mühlenstrasse - Heiligenseestrasse - Karolinenstrasse - U-Bhf. Tegel - Hatzfeldallee - Martin-Luther-Friedhof - Freie Scholle - Waldstrasse - Bhf. Waidmannslust - Oraniendamm - Am Vierrutenbert - Lübars, Dorfaue",15.0,36.0,bus,West,1961
57,A 21,Wentowsteig - Oranienburger Strasse - Alt-Wittenau - Bhf. Eichbornstrasse - Scharnweberstrasse - Kurt-Schumacher-Platz - Kaserne Südtor - Heckerdamm - Bhf. Jungfernheide - Luisenplatz - Kantstrasse - Stuttgarter Platz - Amtsgericht Charlottenburg - Kurfürstendamm - Bhf. Hohenzollerndamm - U-Bhf. Fehrbelliner Platz,15.0,49.0,bus,West,1961
60,A 24,Wiebestrasse - GotzkowskyStrasse - StromStrasse - Rathenower Strasse - Alt-Moabit - John-Foster-Dulles-Allee - Tiergartenstrasse - Lützowplatz - Potsdamer Strasse - Hafenplatz - Askanischer Platz - U-Bhf. Hallesches Tor - Gneisenaustrasse - Columbiadamm - Tempelhofer Damm - Flughafen,5.0,43.0,bus,West,1961
61,A 25,Unionplatz - Gotzkowskybrücke - Hansaplatz - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Pariser Strasse Ecke Bundesallee - Berliner Strasse Ecke Bundesallee - Bundesplatz - Kaisereiche - Grazer Platz - Attilaplatz - Tempelhofer Damm Ecke Friedrich-Karl-Strasse - Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg - Tempelhofer Weg Ecke Britzer Damm - Grüner Weg - Gutschmidtstrasse,10.0,63.0,bus,West,1961
64,A 28,Loewenhardtdamm - Dudenstrasse - Kreuzbergstrasse - Yorckstrasse - Mehringdamm - Zossener Strasse - Südstern - Urban-Krankenhause - U-Bhf. Prinzenstrasse - U-Bhf Kottbusser Tor - Oranienstrasse - Waldemarstrasse - Mariannenplatz - Köpenickerstrasse Ecke Manteuffelstrasse - U-Bhf. Schlesisches Tor - Heckmannufer,7.5,29.0,bus,West,1961
65,A 29,Roseneck - Berkaer Strasse - BSC-Sportplatz - Bismarckplatz - Bhf. Halensee - Joachim-Friedrich-Strasse - Wilmersdorfer Strasse - Olivaer Platz - Uhlandstrasse - Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz - Lutherstrasse - Lützowstrasse - Potsdamer Strasse - Askanischer Platz,10.0,32.0,bus,West,1961
66,A 31,Machandelweg - U-Bhf. Ruhleben - Friedhof Ruhleben - Kinderheim Ruhleben - Teltower Strasse - Grenadierstrasse - Stresowplatz - Breite Strasse - Rathaus Spandau - Brunsb tteler Damm - Nauener Strasse - Egelpfuhlstrasse - Magistratsweg - Spandauer Strasse - Hackbuschstrasse - Heidebergplan,12.0,27.0,bus,West,1961
67,A 32,"Breitenbachplatz - GritznerStrasse - SchlossStrasse - Rathaus Steglitz - SedanStrasse - StindeStrasse - LeonorenStrasse - Lankwitz, Kirche - Marienfelder Strasse - Marchandstrasse - Marienfelder Allee - Stegerwaldstrasse - Bhf. Marienfelde",5.0,28.0,bus,West,1961
68,A 33,Bhf. Steglitz - Breite Strasse - Klingsorstrasse - Sedanstrasse - Bismarckstrasse - Halskestrasse - Bhf. Südende - Bhf. Mariendorf - Kurfürstenstrasse - Kaiserstrasse/Ringstrasse - Rathaus Mariendorf - Kaiserstrasse,10.0,15.0,bus,West,1961
69,A 34,"Spandau, Friedhof - Askanierring - Hafenplatz - Rathaus Spandau - Wilhelmstrasse Ecke Pichelsdorferstrasse - Adamstrasse - Heerstrasse - Weinmeisterhornweg - Ortsgrenze Gatow - Gatow, Kirche - Großglienicker Weg - Krankenhaus Hohengatow - Krankenhaus Havelhöhe - Alt-Kladow - Schwiezerhaus - Gutshof",30.0,45.0,bus,West,1961
70,A 35,"Germersheimer Platz - Askanierring - Rathaus Spandau - Wilhelmstrasse Ecke Pichelsdorferstrasse - Adamstrasse - Heerstrasse - Gatower Strasse - Weinmeisterhornweg - Ortsgrenze Gatow - Gatow, Kirche - Großglienicker Weg - Krankenhaus Hohengatow - Krankenhaus Havelh he - Alt-Kladow - Krampnitzer Weg - Hottengrund",30.0,38.0,bus,West,1961
