stop_name,type,in_lines,location,identifier
LPG Falkenberg,Autobus,['A 46'],"52.57689764194031, 13.582483848603614",
Langhansstrasse Ecke Gustav-Adolf-Strasse,Autobus,"['A 55', 'A 45']","52.55363454206649, 13.43469073771919",
Leninallee,strassenbahn,['4'],"52.5259343,13.4462368",Q65553230
Leninallee Ecke Dimitroffstrasse,strassenbahn,['13'],"52.5259343,13.4462368",Q65553230
Leninplatz,Omnibus,['O 40'],"52.523238998562235, 13.433594583798834",
Leninplatz,strassenbahn,"['1', '63', '69', '64']","52.5232658,13.4326457",Q65553105
Lerchenstrasse,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],"52.45518873071384, 13.734268401558374",
Lichtenberger Strasse,strassenbahn,['72'],"52.552032612200605, 13.465689924366766",
Lichtenberger Strasse,strassenbahn,['74'],"52.552032612200605, 13.465689924366766",
Lichtenberger Strasse Ecke Buschallee,strassenbahn,['70'],"52.55398925514543, 13.467683317947278",
Lindenberg,Autobus,['A L'],"52.602597712625055, 13.5250306401055",
Lindenstrasse Ecke Bahnhofstrasse,strassenbahn,['95'],"52.4505094,13.572684",Q66095701
Luxemburgplatz,u-bahn,['A'],"52.528333333333,13.410277777778",Q658790
Magdalenenstrasse,u-bahn,['E'],"52.5125,13.486388888889",Q473901
Mahlsdorf-Süd,strassenbahn,['83'],"52.4741663,13.5991443",Q66368466
"Mahlsdorf-Süd, Hubertus",strassenbahn,"['82', '86']","52.4741663,13.5991443",Q66368466
"Malchow, Dorfstrasse",Autobus,"['A 46', 'A L']","52.580462270708544, 13.482797576255583",
Malchower Weg,Autobus,['A 46'],"52.56152031238405, 13.500485897507804",
Marchlewskistrasse,u-bahn,['E'],"52.516794444444,13.444991666667",Q551768
Margaretenaue,strassenbahn,['49'],"52.587907241470944, 13.430038901840085",
Markgrafendamm,Autobus,['A 82 P'],"52.49919969372071, 13.465742293248686",
Marx-Engels-Platz,Autobus,"['A 57', 'A 9']","52.51617617310524, 13.400937413635054",
"Marzahn, Berliner Chaussee",Autobus,['A 43'],"52.54286481407268, 13.550124906736844",
Marzahner Chaussee,Omnibus,['O 37'],"52.53978688562053, 13.53943029431785",
Molkenmarkt,strassenbahn,"['72', '74', '71']","52.51679321421663, 13.409330619020574",
Müggelheim,Autobus,['A 27'],"52.41018331064196, 13.665897531850348",
Müggelseeperle,Autobus,['A 27'],"52.42170168937569, 13.640893083169368",
Neu-Lindenberg,Autobus,['A L'],"52.600885625411856, 13.554794085696633",
Nordend,Autobus,['A 7'],"52.59006569360479, 13.401740566033476",
Nordend,strassenbahn,['46'],"52.5902104,13.4027524",Q65032696
Nordendstrasse,strassenbahn,['22'],"52.588534,13.3882952",Q65428345
Normannenstrasse,Autobus,['A 23'],"52.41755553724523, 13.541493283222094",
"Oberspree, Bruno-Bürgel-Weg",strassenbahn,['92'],"52.452777014581045, 13.537124836409932",
Omnibus-Bf. Lichtenberger Strasse,strassenbahn,['3'],"52.5442346,13.4687215",Q65939077
Oranienburger Tor,Autobus,"['A 9', 'A 59']","52.52716314203455, 13.38710905184874",
Oranienburger Tor,Omnibus,['O 40'],"52.52716314203455, 13.38710905184874",
Oranienburger Tor,strassenbahn,"['1', '46', '70', '11', '69']","52.5256031,13.3872745",Q65095375
Ossietzkyplatz,strassenbahn,['46'],"52.58100580136794, 13.404014807678767",
Ostbahnhof,Omnibus,['O 40'],"52.50976670730252, 13.43372198235041",
Ostbahnhof,strassenbahn,"['82', '1']","52.509107635417394, 13.43550619008533",
Pankow (Vinetastrasse),u-bahn,['A'],"52.559166666667,13.413333333333",Q570906
"Pankow, Kirche",Autobus,"['A 55', 'A 58', 'A 45']","52.57124680898358, 13.410670715665145",
"Pankow, Kirche",strassenbahn,"['22', '49', '46']","52.5706452,13.4103115",Q65055066
"Pankow, Rathaus",Autobus,"['A 45', 'A 55', 'A 58', 'A 7']","52.56953908840178, 13.404186437171612",
"Pankow, Rathaus",strassenbahn,"['22', '46']","52.5694816,13.4038045",Q65055060
Parkstrasse Ecke An der Wuhlheide,strassenbahn,['82'],"52.458692811582104, 13.539859756020707",
Parkstrasse Ecke An der Wulheide,strassenbahn,['95'],"52.458692811582104, 13.539859756020707",
Parkstrasse,strassenbahn,['87'],"52.45870588645984, 13.539865120378947",
Piesporter Strasse,Autobus,['A 55'],"52.560428325050296, 13.476578086985889",
Platz vor dem Neuen Tor,Autobus,['A 9'],"52.52921245715711, 13.378513556812177",
Post,Autobus,"['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']","52.47029587176764, 13.786537970773646",
Prenzlauer Allee,strassenbahn,['4'],"52.5396522,13.4244789",Q65222180
Prenzlauer Allee Ecke Dimitroffstrasse,strassenbahn,['13'],"52.539197857899126, 13.424201067893557",
Prenzlauer Promenade,Autobus,['A 56'],"52.5516751737526, 13.430326005865055",
Prenzlauer Promenade,strassenbahn,"['70', '72', '3']","52.55155536618067, 13.43032253030515",
Prenzlauer Promenade (Spitze),Autobus,['A 42'],"52.55169017006126, 13.430288457592285",
Prenzlauer Promenade (Spitze),strassenbahn,['71'],"52.5516751737526, 13.430326005865055",
Prenzlauer Promenade Ecke Granitzstrasse,Autobus,['A 55'],"52.572092016203484, 13.42875772052513",
Prenzlauer Promenade Ecke Kissingenstrasse,Autobus,['A 45'],"52.56795804833996, 13.427734373319213",
Prenzlauer Tor,Omnibus,['O 40'],"52.52709114016772, 13.415809370320808",
Prenzlauer Tor,strassenbahn,['71'],"52.52709114016772, 13.415809370320808",
Proskauerstrasse Ecke Dolziger Strasse,Omnibus,['O 30'],"52.519874079766325, 13.463289228834057",
Rahnsdorf,strassenbahn,['87'],"52.443531694444445,13.685038",Q66361311
Rahnsdorfer Strasse Ecke Hultschiner Damm,strassenbahn,['83'],"52.49863606696212, 13.613320584450898",
Rennbahnstrasse Ecke Bernkasteler Strasse,strassenbahn,['74'],"52.55697630217991, 13.466894532923181",
Rennbahnstrasse Ecke Gustav-Adolf-Strasse,Autobus,['A 56'],"52.56218648050474, 13.454267038723398",
Richtershorn,strassenbahn,['86'],"52.40105,13.6248473",Q66481215
Ridbacher Strasse,Autobus,['A 49'],"52.527457204488485, 13.606447755554132",
Robert-Koch-Platz,Autobus,['A 57'],"52.527570508835595, 13.37877230286134",
Robert-Koch-Platz,Omnibus,['O 40'],"52.527570508835595, 13.37877230286134",
Roederplatz,Omnibus,['O 30'],"52.52671388514014, 13.479662353432392",
Roederplatz,strassenbahn,"['69', '3']","52.5266001,13.479068",Q65685373
"Rosenthal, Haupstrasse",strassenbahn,['22'],"52.5970063,13.3763916",Q65364985
Rosenthaler Platz,Omnibus,['O 40'],"52.5296729549826, 13.401428926082492",
Rosenthaler Platz,strassenbahn,"['22', '49', '82']","52.5301769,13.4016121",Q65093945
Rosenthaler Strasse,strassenbahn,['49'],"52.59633,13.432876",Q66192394
"Rüdersdorf, Karl-Marx-Platz",Autobus,"['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']","52.468598623083736, 13.791633300477105",
"Rüdersdorf, Thälmannplatz",Autobus,"['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']","52.474663106849825, 13.77362632033625",
S-Bhf. Adlershof,strassenbahn,['84'],"52.435251,13.5408489",Q66363728
S-Bhf. Alexanderplatz,Autobus,"['A 57', 'A 9']","52.52074877770386, 13.412147230655155",
S-Bhf. Alexanderplatz,Omnibus,['O 30'],"52.52074877770386, 13.412147230655155",
S-Bhf. Altglienicke,Autobus,['A 23'],"52.40840519773821, 13.558816171743953",
S-Bhf. Baumschulenweg,Autobus,['A 47'],"52.4674967534767, 13.489379882069517",
S-Bhf. Baumschulenweg,strassenbahn,"['95P', '95']","52.467425320387854, 13.489303343986984",
S-Bhf. Biesdorf,Omnibus,['O 37'],"52.513432593832405, 13.555387279249894",
S-Bhf. Friedrichsfelde-Ost,Autobus,['A 43'],"52.51324537165634, 13.524030584354616",
S-Bhf. Friedrichshagen,Autobus,"['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']","52.45731046148184, 13.625536519339297",
S-Bhf. Friedrichshagen,strassenbahn,"['84', '87']","52.4564126,13.6253656",Q66360784
S-Bhf. Greifswalder Strasse,strassenbahn,['74'],"52.5407234,13.4382904",Q65548932
S-Bhf. Grünau,Autobus,"['A 36', 'A 38']","52.41361515857581, 13.573796290663196",
S-Bhf. Grünau,strassenbahn,['86'],"52.413493,13.5746802",Q62470512
S-Bhf. Grünbergallee,Autobus,['A 36'],"52.39982232817773, 13.540170966673278",
S-Bhf. Jannowitzbrücke,strassenbahn,"['22', '82', '64', '71', '11']","52.51478599600389, 13.418056238742702",
S-Bhf. Karlshorst,strassenbahn,['69'],"52.481331,13.5254433",Q65952829
"S-Bhf. Kaulsdorf, Planitzstrasse",Autobus,['A 27'],"52.51113864301491, 13.58755467300039",
S-Bhf. Köpenick,Autobus,['A 27'],"52.45882190200453, 13.579564677172508",
S-Bhf. Köpenick,strassenbahn,"['82', '86', '83']","52.4582153,13.5790435",Q66370784
S-Bhf. Mahlsdorf,Autobus,"['A 44', 'A 44 E']","52.51234908870327, 13.61221793610957",
S-Bhf. Mahlsdorf,strassenbahn,['83'],"52.51221826761895, 13.612190748726157",
S-Bhf. Marx-Engels-Platz,strassenbahn,['49'],"52.52299166458439, 13.401977754137919",
S-Bhf. Ostkreuz,strassenbahn,['82'],"52.50243021718411, 13.469020052690205",
S-Bhf. Pankow,Autobus,"['A 55', 'A 58', 'A 45']","52.56742037379333, 13.412250129587665",
S-Bhf. Pankow,strassenbahn,"['22', '49', '46']","52.5675692,13.4121641",Q65055075
S-Bhf. Pankow-Heinersdorf,strassenbahn,['49'],"52.577507820515834, 13.427853061920917",
S-Bhf. Plänterwald,strassenbahn,"['87', '92']","52.479645467025435, 13.47567729609248",
S-Bhf. Prenzlauer Allee,strassenbahn,"['72', '71']","52.5448075,13.427408",Q65219791
S-Bhf. Rahnsdorf,Autobus,"['A 22', 'S-Bhf. Rahnsdorf - Woltersdorfer Schleuse']","52.451628368326396, 13.691579101298974",
S-Bhf. Rummelsburg,Omnibus,['O 30'],"52.50179539105723, 13.478028581044718",
S-Bhf. Schönhauser Allee,strassenbahn,"['22', '49', '46']","52.5493619,13.4135734",Q65088013
S-Bhf. Spindlersfeld,strassenbahn,['84'],"52.4457311,13.5624298",Q66363397
S-Bhf. Treptower Park,Autobus,['A 47'],"52.49403640886682, 13.460762565516704",
S-Bhf. Warschauer Strasse,strassenbahn,"['3', '4']","52.506416666667,13.450955555556",Q111252298
S-Bhf. Wilhelmshagen,Autobus,['A 22'],"52.43886122089184, 13.721060252199655",
Saarbrücker Strasse Ecke Prenzlauer Allee,strassenbahn,"['72', '71']","52.52853502182196, 13.41711797726751",
Sadowastrasse,Autobus,['A 8'],"52.482675472271694, 13.584833068425244",
Samariterstrasse,u-bahn,['E'],"52.514722222222,13.464444444444",Q552891
Scharnhorststrasse,Autobus,['A 57'],"52.530048717863, 13.374421833191816",
Scharnhorststrasse Ecke Kieler Strasse,Autobus,['A 9'],"52.534358722624745, 13.370310836134667",
"Schildow, Kirche",Autobus,['A 7'],"52.63581867397586, 13.377719168374458",
Schillingstrasse,u-bahn,['E'],"52.520277777778,13.421666666667",Q552899
Schumannstrasse,Autobus,['A 57'],"52.52350700053633, 13.379478600060418",
Schönefeld Gartenstrasse,Autobus,['A 36'],"52.39306384968221, 13.524936786130585",
"Schönefeld, Flughafen Nord",Autobus,['A 24'],"52.391408388594286, 13.516045082012493",
"Schönefeld, Flughafen Süd",Autobus,['A 24'],"52.36638150611842, 13.518172113668877",
"Schönefeld, Gartenstrasse",Autobus,['A 36'],"52.39306384968221, 13.524936786130585",
"Schönefeld, Kirche",Autobus,"['A Z', 'A 24']","52.387425080944524, 13.505964115736859",
Schönefelder Chaussee,Autobus,['A 23'],"52.409778884134546, 13.526974904149686",
"Schöneiche, Goethepark",Autobus,"['S-Bhf. Friedrichshagen - Rüdersdorf, Karl-Marx-Platz']","52.470798548586494, 13.68835638892532",
Schönhauser Allee,strassenbahn,['3'],"52.5537705,13.4138898",Q65076842
Schönhauser Allee,u-bahn,['A'],"52.549328888889,13.413706111111",Q47014936
Seelenbinderstrasse,strassenbahn,['83'],"52.4554632,13.5769303",Q66324934
Seelenbinderstrasse Ecke Bahnhofstrasse,strassenbahn,['87'],"52.4554632,13.5769303",Q66324934
Seelenbinderstrasse,strassenbahn,"['84', '86']","52.45577189402544, 13.577137501189938",
Siegfriedstrasse Ecke Herzbergstrasse,strassenbahn,['69'],"52.52637512000325, 13.499791136524967",
Sonnenallee,strassenbahn,['95P'],"52.46218348846541, 13.477104416215733",
Spittelmarkt,strassenbahn,"['72', '74', '64']","52.511243321361405, 13.40494539543245",
Spittelmarkt,u-bahn,['A'],"52.511111111111,13.403611111111",Q569489
Stadion Buschallee,strassenbahn,['70'],"52.5566718,13.4869834",Q65504715
Stadtmitte,u-bahn,['A'],"52.5122,13.3894",Q660066
Stalinallee (Ringbahn),u-bahn,['E'],"52.514166666667,13.474722222222",Q552872
Sterndamm,Autobus,['A 47'],"52.44658674940087, 13.506534865142585",
Steuerhaus,Omnibus,['O 37'],"52.530493,13.4614989",
Steuerhaus,strassenbahn,"['69', '63', '64']","52.530493,13.4614989",Q65553632
Strab. Bf. Köpenick,strassenbahn,['83'],"52.4582153,13.5790435",Q66370784
"Stralau, Kinderheim",Autobus,['A 82 P'],"52.4898153097415, 13.481404230737937",
Stralauer Allee,strassenbahn,['82'],"52.49740745019046, 13.46463650693144",
Strasse 78,Autobus,['A 42'],"52.614646041574915, 13.484873269723556",
Strasse nach Wartenberg,Autobus,['A 46'],"52.56866269126953, 13.520582099858125",
Strausberger Platz,u-bahn,['E'],"52.518055555556,13.430833333333",Q570999
Taubenstrasse Ecke Glinkastrasse,strassenbahn,['72'],"52.51282807699578, 13.386550049684635",
Thälmannplatz,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],"52.45066904252597, 13.752260000383929",
Thälmannplatz,u-bahn,['A'],"52.51167,13.38472",Q658391
Tierpark Berlin,strassenbahn,['69'],"52.50297204519277, 13.520916474066839",
"Treptow, Rathaus",Autobus,['A 47'],"52.48358899866382, 13.480324760498638",
U- u. S-Bhf. Frankfurter Allee,strassenbahn,['3'],"52.5138037,13.4773772",Q65948557
U-Bhf. Dimitroffstrasse,strassenbahn,"['22', '70', '13', '4']","52.5401928,13.4113979",Q65088313
U-Bhf. Dimitroffstrasse,strassenbahn,"['49', '46']","52.5401928,13.4113979",Q65088313
U-Bhf. Franzsösische Strasse,Autobus,['A 59'],"52.514766362780534, 13.389198160378083",
U-Bhf. Friedrichsfelde (Tierpark),Autobus,"['A 43', 'A 8']","52.505467902077775, 13.513705817628793",
U-Bhf. Pankow (Vinetastrasse),Autobus,"['A 58', 'A 7']","52.559329803871, 13.413333194922279",
U-Bhf. Pankow (Vinetastrasse),strassenbahn,"['22', '46']","52.5596168,13.413232",Q65075426
U-Bhf. Pankow (Vinetastrasse),strassenbahn,['49'],"52.5596168,13.413232",Q65075426
U-Bhf. Stadtmitte,Autobus,['A 59'],"52.5104179669139, 13.389881304836392",
U-Bhf. Strausberger Platz,strassenbahn,['1'],"52.51808306742478, 13.432938339097822",
U-Bhf. Thälmannplatz,Autobus,['A 59'],"52.5114441966642, 13.383432905885536",
Uckermarkstrasse,Autobus,['A 49'],"52.52145144349922, 13.596724604247981",
Ulmenstrasse,Autobus,['A 27'],"52.48730877811447, 13.574932033917504",
VEB Baustransporte,Autobus,['A 26'],"52.44295541604966, 13.519519091051876",
VEB Schiffswerft,strassenbahn,['83'],"52.42547977761138, 13.586220039541647",
"Waldesruh, Mahlsdorfer Allee",Autobus,['A 8'],"52.48493120102871, 13.629069441163518",
Waldschänke,Autobus,['A 22'],"52.443318139967566, 13.68593963431219",
Wallnerstrasse Ecke Alexanderstrasse,strassenbahn,['22'],"52.515528873421424, 13.418227297042726",
Wallnerstrasse Ecke Alexanderstrasse,strassenbahn,['71'],"52.515528873421424, 13.418227297042726",
Walter-Ulbricht-Stadion,Autobus,['A 59'],"52.536515137173154, 13.377775719050113",
Walter-Ulbricht-Stadion,strassenbahn,"['82', '69']","52.536515137173154, 13.377775719050113",
Waltersdorf,Autobus,['A 38'],"52.36492901110609, 13.555712408051676",
Waltersdorfer Chaussee,Autobus,['A 24'],"52.402177459037354, 13.51294235752257",
Warschauer Strasse,Omnibus,['O 30'],"52.512432267445355, 13.452598837307189",
Warschauer Strasse,strassenbahn,['82'],"52.50502,13.44863",Q63490275
"Wartenberg, Dorfstrasse",Autobus,['A 39'],"52.57484089632958, 13.518020972979759",
"Wartenberg, Siedlung",Autobus,['A 39'],"52.58393195902164, 13.53076033685478",
Wasserwerk,strassenbahn,['87'],"52.4560563,13.6419956",Q66362601
Waßmannsdorf,Autobus,['A Z'],"52.37269773285082, 13.465032652682668",
Waßmannsdorfer Weg,Autobus,['A 24'],"52.36725754220821, 13.466690921850635",
"Weißensee, Nüßlerstrasse",Autobus,['A 56'],"52.56398537909407, 13.469733771213992",
"Weißensee, Pasedagplatz",strassenbahn,['72'],"52.5594027,13.4609594",Q65954665
"Weißensee, Pasedagplatz/Klement-Gottwald-Allee",strassenbahn,['74'],"52.5597125027563, 13.460307340258108",
"Weißensee, Schwarzelfenweg",Autobus,['A 45'],"52.56729838338304, 13.46535452978551",
Weißenseer Weg,Omnibus,['O 37'],"52.53305919668049, 13.476252837088406",
Weißenseer Weg,strassenbahn,['63'],"52.532258,13.476705",Q65942700
Weißenseer Weg Ecke Berliner Strasse,strassenbahn,['64'],"52.532258,13.476705",Q65942700
Wendenschloß,strassenbahn,['83'],"52.4169658,13.5885926",Q66363928
Wendenstrasse,Autobus,['A 23'],"52.41578842802203, 13.549898784524798",
Wicherstrasse Ecke Prenzlauer Allee,Autobus,['A 56'],"52.5456730102219, 13.427746498417138",
Wiener Brücke,strassenbahn,['92'],"52.49588477409083, 13.43650068505988",
"Wiener Brücke, Krüllstrasse",strassenbahn,['87'],"52.49164735650872, 13.446700972117204",
Wilhelminenhofstrasse,strassenbahn,['69'],"52.460837970970566, 13.521054382869073",Q65951882
Wilhelminenhofstrasse Ecke Edisonstrasse,strassenbahn,['87'],"52.4619496,13.5139049",Q65951882
"Wilhelmsruh, Fontanestrasse",Autobus,"['A 55', 'A 58', 'A 45']","52.58985938767378, 13.361193570257216",
Wilhelmstrasse,Autobus,['A 59'],"52.5100063666283, 13.384161195049645",
Wilhelmstrasse,strassenbahn,['74'],"52.51000721625461, 13.384162341711823",
Wisbyer Strasse Ecke Schönhauser Allee,strassenbahn,['49'],"52.55374610843057, 13.414453768690132",
Wolfmarsteig,Autobus,['A 23'],"52.41268952057738, 13.536602630335091",
Woltersdorfer Schleuse,Autobus,['S-Bhf. Rahnsdorf - Woltersdorfer Schleuse'],"52.4427723984596, 13.764524016423056",
Wongrowitzer Steig,Autobus,['A 27'],"52.4669377,13.5853227",
Zentralschule,Autobus,['A 22'],"52.43465069286089, 13.703692212644038",
"Ziegenhals, VA-Dienststelle",Autobus,['Schmöckwitz - Ziegenhals'],"52.3470916280972, 13.664196000865504",
Lindenstrasse/Hegelschule,strassenbahn,['82'],"52.4505094,13.572684",Q66095701
